year,age,sex,cost
2005,10,F,4567374.21944297
2005,10,M,6051784.141484437
2005,11,F,4823024.530818251
2005,11,M,6562295.887479836
2005,12,F,4800678.285884185
2005,12,M,6238612.969376933
2005,13,F,5349894.82345798
2005,13,M,6607381.212466966
2005,14,F,5417830.897330577
2005,14,M,6923334.407113474
2005,15,F,5634101.57359615
2005,15,M,7451289.419459142
2005,16,F,5476408.804181178
2005,16,M,7480307.458993431
2005,17,F,5403475.464908773
2005,17,M,7277777.400602527
2005,18,F,5383389.471505293
2005,18,M,7055966.258862418
2005,19,F,5660357.0462495545
2005,19,M,7211937.273195714
2005,20,F,5762886.228535301
2005,20,M,7429423.31204294
2005,21,F,5693365.783553535
2005,21,M,7340695.025172555
2005,22,F,5737115.330228415
2005,22,M,7351695.8657411095
2005,23,F,5888068.428803209
2005,23,M,6666770.748542921
2005,24,F,5812528.621446351
2005,24,M,6211020.056777937
2005,25,F,5673806.039676231
2005,25,M,6031397.943541051
