year,age,sex,n_exacerbations
2006,63,M,30
2006,64,F,81
2006,64,M,7
2006,65,F,58
2006,65,M,28
2006,66,F,73
2006,66,M,21
2006,67,F,47
2006,67,M,17
2006,68,F,55
2006,68,M,15
2006,69,F,49
2006,69,M,20
2006,70,F,53
2006,70,M,9
2006,71,F,65
2006,71,M,25
2006,72,F,47
2006,72,M,32
2006,73,F,57
2006,73,M,22
2006,74,F,64
2006,74,M,24
2006,75,F,45
2006,75,M,23
2006,76,F,63
2006,76,M,15
2006,77,F,53
2006,77,M,21
2006,78,F,77
2006,78,M,22
2006,79,F,54
2006,79,M,11
2006,80,F,44
2006,80,M,17
2006,81,F,60
2006,81,M,24
2006,82,F,50
2006,82,M,17
2006,83,F,54
2006,83,M,12
2006,84,F,37
2006,84,M,17
2006,85,F,38
2006,85,M,11
2006,86,F,46
2006,86,M,15
2006,87,F,37
2006,87,M,9
2006,88,F,25
2006,88,M,4
2006,89,F,26
2006,89,M,8
2006,90,F,23
2006,90,M,4
2006,91,F,18
2006,91,M,3
2006,92,F,13
2006,92,M,3
2006,93,F,5
2006,93,M,5
2006,94,F,12
2006,94,M,0
2006,95,F,4
2006,95,M,3
2006,96,F,0
2006,96,M,1
2006,97,F,2
2006,97,M,0
2006,98,F,0
2006,98,M,0
2006,99,F,0
2006,99,M,1
2006,100,F,2
2006,100,M,0
2006,101,F,1
2006,101,M,1
2006,102,F,0
2006,102,M,0
2006,103,F,0
2006,103,M,0
2006,104,F,1
2006,104,M,0
2006,105,F,0
2006,105,M,0
2006,106,F,0
2006,106,M,0
2006,107,F,0
2006,107,M,0
2006,108,F,0
2006,108,M,0
2006,109,F,0
2006,109,M,0
2006,110,F,0
2006,110,M,0
2007,0,F,0
2007,0,M,0
2007,1,F,0
2007,1,M,0
2007,2,F,0
2007,2,M,0
2007,3,F,408
2007,3,M,701
2007,4,F,297
2007,4,M,494
2007,5,F,298
2007,5,M,444
2007,6,F,247
2007,6,M,305
2007,7,F,194
2007,7,M,279
2007,8,F,182
2007,8,M,209
2007,9,F,132
2007,9,M,191
2007,10,F,128
2007,10,M,186
2007,11,F,84
2007,11,M,134
2007,12,F,69
2007,12,M,107
2007,13,F,63
2007,13,M,82
2007,14,F,50
2007,14,M,66
2007,15,F,55
2007,15,M,37
2007,16,F,60
2007,16,M,62
2007,17,F,76
2007,17,M,58
2007,18,F,65
2007,18,M,42
2007,19,F,35
2007,19,M,50
2007,20,F,43
2007,20,M,70
2007,21,F,72
2007,21,M,62
2007,22,F,106
2007,22,M,47
2007,23,F,67
2007,23,M,69
2007,24,F,58
2007,24,M,71
2007,25,F,93
2007,25,M,80
2007,26,F,115
2007,26,M,80
2007,27,F,108
2007,27,M,38
2007,28,F,72
2007,28,M,74
2007,29,F,88
2007,29,M,87
2007,30,F,89
2007,30,M,68
2007,31,F,97
2007,31,M,64
2007,32,F,72
2007,32,M,57
2007,33,F,96
2007,33,M,72
2007,34,F,70
2007,34,M,36
2007,35,F,81
2007,35,M,86
2007,36,F,106
2007,36,M,58
2007,37,F,113
2007,37,M,63
2007,38,F,78
2007,38,M,41
2007,39,F,137
2007,39,M,32
2007,40,F,88
2007,40,M,22
2007,41,F,88
2007,41,M,39
2007,42,F,104
2007,42,M,40
2007,43,F,111
2007,43,M,30
2007,44,F,127
2007,44,M,32
2007,45,F,83
2007,45,M,37
2007,46,F,136
2007,46,M,37
2007,47,F,99
2007,47,M,46
2007,48,F,84
2007,48,M,52
2007,49,F,89
2007,49,M,22
2007,50,F,85
2007,50,M,39
2007,51,F,116
2007,51,M,22
2007,52,F,119
2007,52,M,27
2007,53,F,56
2007,53,M,32
2007,54,F,90
2007,54,M,30
2007,55,F,84
2007,55,M,38
2007,56,F,107
2007,56,M,25
2007,57,F,68
2007,57,M,25
2007,58,F,81
2007,58,M,30
2007,59,F,74
2007,59,M,27
2007,60,F,90
2007,60,M,19
2007,61,F,52
2007,61,M,29
2007,62,F,58
2007,62,M,17
2007,63,F,58
2007,63,M,34
2007,64,F,67
2007,64,M,13
2007,65,F,53
