year,age,sex,n_antibiotic_exposure
2007,49,F,28
2007,49,M,61
2007,50,F,7
2007,50,M,57
2007,51,F,0
2007,51,M,44
2007,52,F,6
2007,52,M,46
2007,53,F,0
2007,53,M,24
2007,54,F,0
2007,54,M,14
2007,55,F,0
2007,55,M,19
2007,56,F,0
2007,56,M,24
2007,57,F,1
2007,57,M,27
2007,58,F,6
2007,58,M,29
2007,59,F,7
2007,59,M,38
2007,60,F,24
2007,60,M,42
2007,61,F,0
2007,61,M,10
2007,62,F,0
2007,62,M,0
2007,63,F,1
2007,63,M,0
2007,64,F,5
2007,64,M,3
2007,65,F,0
2007,65,M,0
2007,66,F,6
2007,66,M,0
2007,67,F,8
2007,67,M,0
2007,68,F,6
2007,68,M,3
2007,69,F,2
2007,69,M,3
2007,70,F,5
2007,70,M,2
2007,71,F,3
2007,71,M,4
2007,72,F,0
2007,72,M,0
2007,73,F,0
2007,73,M,0
2007,74,F,9
2007,74,M,0
2007,75,F,0
2007,75,M,0
2007,76,F,8
2007,76,M,0
2007,77,F,0
2007,77,M,0
2007,78,F,0
2007,78,M,0
2007,79,F,0
2007,79,M,0
2007,80,F,0
2007,80,M,0
2007,81,F,0
2007,81,M,0
2007,82,F,0
2007,82,M,0
2007,83,F,0
2007,83,M,0
2007,84,F,0
2007,84,M,0
2007,85,F,0
2007,85,M,0
2007,86,F,0
2007,86,M,0
2007,87,F,0
2007,87,M,0
2007,88,F,0
2007,88,M,0
2007,89,F,0
2007,89,M,0
2007,90,F,0
2007,90,M,0
2007,91,F,0
2007,91,M,0
2007,92,F,0
2007,92,M,0
2007,93,F,0
2007,93,M,0
